overlap_id,dir_name,person,following_tail,kirk_tail,airport_code,date,times_status,drawable,built_date,skip_reason
OWENS-021,2024_02_14_KILG_Erika_DE_wilmington,Erika,SU-BTT,,KILG,2024-02-14,complete,yes,2026-08-29,
OWENS-053,,,SU-BTT,,KSTL,2024-03-10,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-022,,,SU-BTT,,KICT,2024-03-18,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-054,,,SU-BTT,,KICT,2024-03-22,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-023,,,SU-BTT,,KICT,2024-03-29,none,no,,"duplicate of another row already built for this date, field and person"
OWENS-024,,,SU-BTT,,KICT,2024-04-03,none,no,,"duplicate of another row already built for this date, field and person"
SITE-003,,,SU-BTT,,KICT,2024-04-03,none,no,,"duplicate of another row already built for this date, field and person"
EXTRA-002,,,,,KOMA,2024-04-09,none,no,,no following tail named on this row
OWENS-055,,,SU-BTT,,KOMA,2024-04-15,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-025,2024_04_19_KPVU_Erika_UT_provo,Erika,SU-BND,,KPVU,2024-04-19,complete,yes,2026-08-29,
OWENS-026,2024_04_23_KPVU_Charlie_UT_provo,Charlie,SU-BTT,,KPVU,2024-04-23,complete,yes,2026-08-29,
SITE-004,2024_04_23_KPVU_Charlie_UT_provo,Charlie,SU-BTT,,KPVU,2024-04-23,complete,yes,2026-08-29,
OWENS-027,2024_04_28_KILG_Erika_DE_wilmington,Erika,SU-BTT,,KILG,2024-04-28,complete,yes,2026-08-29,
OWENS-056,,,SU-BND,,KSTL,2024-05-03,none,no,,"neither free archive holds a trace for SU-BND on this date - a coverage fact, not an absence"
OWENS-057,,,SU-BND,,KSTL,2024-05-10,none,no,,"neither free archive holds a trace for SU-BND on this date - a coverage fact, not an absence"
OWENS-059,,,SU-BTT,,KICT,2024-07-05,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-028,,,SU-BTT,,KOMA,2024-07-20,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-060,,,SU-BTT,,KOMA,2024-07-25,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-029,,,SU-BTT,,KOMA,2024-08-17,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-030,,,SU-BND,,KPVU,2024-12-08,none,no,,"neither free archive holds a trace for SU-BND on this date - a coverage fact, not an absence"
OWENS-031,,,SU-BTT,,KICT,2025-01-12,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-061,,,SU-BTT,,KICT,2025-01-12,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-032,,,SU-BTT,,KICT,2025-01-17,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-062,,,SU-BTT,,KOMA,2025-02-08,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-033,,,SU-BTT,,KICT,2025-03-15,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-063,,,SU-BTT,,KICT,2025-03-15,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-034,,,SU-BTT,,KICT,2025-03-22,none,no,,"neither free archive holds a trace for SU-BTT on this date - a coverage fact, not an absence"
OWENS-064,,,SU-BND,,KPVU,2025-04-19,none,no,,"neither free archive holds a trace for SU-BND on this date - a coverage fact, not an absence"
OWENS-035,2025_05_23_KPVU_Charlie_UT_provo,Charlie,SU-BND,,KPVU,2025-05-23,complete,yes,2026-08-29,
OWENS-065,2025_05_23_KPVU_Charlie_UT_provo,Charlie,SU-BND,,KPVU,2025-05-23,complete,yes,2026-08-29,
OWENS-036,,,SU-BTT,,KOMA,2025-06-18,none,no,,archives hold this tail for this date but it was not at the claimed field (SU-BTT closest 10139.55 km)
OWENS-037,,,SU-BND,,KPVU,2025-07-07,none,no,,"neither free archive holds a trace for SU-BND on this date - a coverage fact, not an absence"
OWENS-066,,,SU-BND,,KPVU,2025-07-07,none,no,,"neither free archive holds a trace for SU-BND on this date - a coverage fact, not an absence"
EXTRA-004,,,,,KOMA,2025-07-11,none,no,,no following tail named on this row
OWENS-038,2025_07_20_KOMA_Erika_NE_omaha,Erika,SU-BTT,,KOMA,2025-07-20,complete,yes,2026-08-29,
OWENS-039,2025_08_17_KOMA_Erika_NE_omaha,Erika,SU-BTT,,KOMA,2025-08-17,complete,yes,2026-08-29,
OWENS-040,,,SU-BTT,,KPVU,2025-09-04,none,no,,"duplicate of another row already built for this date, field and person"
EXTRA-006,2025_09_10_KPVU_Charlie_UT_provo,Charlie,SU-BND,N102DZ,KPVU,2025-09-10,complete,yes,2026-08-29,
OWENS-041,2025_09_10_KPVU_Both_UT_provo,Both,SU-BTT,N102DZ,KPVU,2025-09-10,complete,yes,2026-08-29,
SITE-006,2025_09_10_KPVU_Charlie_UT_provo,Charlie,SU-BND,N102DZ,KPVU,2025-09-10,complete,yes,2026-08-29,
OWENS-042,2025_09_13_KPVU_Erika_UT_provo,Erika,SU-BND,,KPVU,2025-09-13,complete,yes,2026-08-29,
